image_links,prices,reviews,titles,votes
"https://images-na.ssl-images-amazon.com/images/I/51CgKGfMelL._AC_UL200_SR200,200_.jpg",49.99,41086,"Fire TV Stick 4K with Alexa Voice Remote, streaming media player",4.5
"https://images-na.ssl-images-amazon.com/images/I/51ZdmnHKukL._AC_UL200_SR200,200_.jpg",39.99,33577,"Fire TV Stick with Alexa Voice Remote, streaming media player",4.5
"https://images-na.ssl-images-amazon.com/images/I/6182S7MYC2L._AC_UL200_SR200,200_.jpg",49.99,59000,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,4.6
"https://images-na.ssl-images-amazon.com/images/I/51aZrvx0IFL._AC_UL200_SR200,200_.jpg",4.99,,2-Year Accident Protection for Echo Auto,
"https://images-na.ssl-images-amazon.com/images/I/51lS5gvNgyL._AC_UL200_SR200,200_.jpg",14.99,4102,Amazon Ethernet Adapter for Amazon Fire TV Devices,4.1
"https://images-na.ssl-images-amazon.com/images/I/5142eHLL%2BlL._AC_UL200_SR200,200_.jpg",89.99,5420,Introducing Echo Show 5 – Compact smart display with Alexa - Charcoal,4.4
"https://images-na.ssl-images-amazon.com/images/I/51D1asikWnL._AC_UL200_SR200,200_.jpg",99.99,36947,"Ring Video Doorbell with HD Video, Motion Activated Alerts, Easy Installation - Satin Nickel",4.0
"https://images-na.ssl-images-amazon.com/images/I/41uF7hO8FtL._AC_UL200_SR200,200_.jpg",24.99,13471,"Amazon Smart Plug, works with Alexa",4.5
"https://images-na.ssl-images-amazon.com/images/I/71hP6o06gdL._AC_UL200_SR200,200_.jpg",29.00,1364,Ring Rechargeable Battery Pack,4.6
"https://images-na.ssl-images-amazon.com/images/I/51hM-iD-CpL._AC_UL200_SR200,200_.jpg",49.99,4832,"All-New Fire 7 Tablet (7"" display, 16 GB) - Black",4.2
"https://images-na.ssl-images-amazon.com/images/I/61cSwIDSVbL._AC_UL200_SR200,200_.jpg",49.99,59000,Echo Dot (3rd Gen) - Smart speaker with Alexa - Sandstone,4.6
"https://images-na.ssl-images-amazon.com/images/I/6182S7MYC2L._AC_UL200_SR200,200_.jpg",29.99,535,Certified Refurbished Echo Dot (3rd Gen) - Voice control your smart home with Alexa - Charcoal,4.5
"https://images-na.ssl-images-amazon.com/images/I/61fTH8Uil9L._AC_UL200_SR200,200_.jpg",149.99,41895,"Fire HD 10 Tablet with Alexa Hands-Free, 10.1"" 1080p Full HD Display, 32 GB, Black",4.1
"https://images-na.ssl-images-amazon.com/images/I/61eAq6gg-XL._AC_UL200_SR200,200_.jpg",129.99,11445,Kindle Paperwhite – Now Waterproof with 2x the Storage – Includes Special Offers,4.3
"https://images-na.ssl-images-amazon.com/images/I/51SgcH5ly%2BL._AC_UL200_SR200,200_.jpg",29.99,1554,Alexa Voice Remote with power and volume controls – requires compatible Fire TV device,4.3
"https://images-na.ssl-images-amazon.com/images/I/51CgKGfMelL._AC_UL200_SR200,200_.jpg",44.99,838,"Certified Refurbished Fire TV Stick 4K with Alexa Voice Remote, streaming media player",4.4
"https://images-na.ssl-images-amazon.com/images/I/51PhMgKm-eL._AC_UL200_SR200,200_.jpg",89.99,5420,Introducing Echo Show 5 – Compact smart display with Alexa - Sandstone,4.4
"https://images-na.ssl-images-amazon.com/images/I/71TzCLRzYAL._AC_UL200_SR200,200_.jpg",199.00,9909,"Ring Video Doorbell 2 with HD Video, Motion Activated Alerts, Easy Installation",4.2
"https://images-na.ssl-images-amazon.com/images/I/61KIcV26CdL._AC_UL200_SR200,200_.jpg",49.99,59000,Echo Dot (3rd Gen) - Smart speaker with Alexa - Heather Gray,4.6
"https://images-na.ssl-images-amazon.com/images/I/61ikAJnULvL._AC_UL200_SR200,200_.jpg",17.04,136750,Echo Dot (2nd Generation) - Smart speaker with Alexa - Black,4.3
"https://images-na.ssl-images-amazon.com/images/I/61SJLQB134L._AC_UL200_SR200,200_.jpg",79.99,18703,"Fire HD 8 Tablet (8"" HD Display, 16 GB) - Black",4.1
"https://images-na.ssl-images-amazon.com/images/I/51dgQ0F4dnL._AC_UL200_SR200,200_.jpg",99.99,36947,"Ring Video Doorbell with HD Video, Motion Activated Alerts, Easy Installation - Venetian Bronze",4.0
"https://images-na.ssl-images-amazon.com/images/I/51ZdmnHKukL._AC_UL200_SR200,200_.jpg",34.99,823,"Certified Refurbished Fire TV Stick with Alexa Voice Remote, streaming media player",4.3
"https://images-na.ssl-images-amazon.com/images/I/618muNEzgbL._AC_UL200_SR200,200_.jpg",27.99,1041,Alexa Voice Remote for Amazon Fire TV and Fire TV Stick (1st Gen),3.8
"https://images-na.ssl-images-amazon.com/images/I/51GJ2v38SNL._AC_UL200_SR200,200_.jpg",49.99,4832,"All-New Fire 7 Tablet (7"" display, 16 GB) - Twilight Blue",4.2
"https://images-na.ssl-images-amazon.com/images/I/61%2Bd846DKeL._AC_UL200_SR200,200_.jpg",20.99,11759,"""Made for Amazon"" SanDisk 128 GB micro SD Memory Card for Fire Tablets and Fire TV",4.4
"https://images-na.ssl-images-amazon.com/images/I/716cDWO30ZL._AC_UL200_SR200,200_.jpg",49.99,2520,"Ring Chime Pro, Indoor Chime and Wi-Fi Extender ONLY for Ring Network Devices",3.8
"https://images-na.ssl-images-amazon.com/images/I/61Ww4abGclL._AC_UL200_SR200,200_.jpg",89.99,2212,All-new Kindle - Now with a Built-in Front Light - Black - Includes Special Offers,4.3
"https://images-na.ssl-images-amazon.com/images/I/516M3mh53HL._AC_UL200_SR200,200_.jpg",39.99,33577,Fire TV Stick with Alexa Voice Remote plus 2 months of HBO (with automatic renewal),4.5
"https://images-na.ssl-images-amazon.com/images/I/51ngf55JmfL._AC_UL200_SR200,200_.jpg",59.99,1892,"AmazonBasics Microwave, Small, 0.7 Cu. Ft, 700W, Works with Alexa",4.0
"https://images-na.ssl-images-amazon.com/images/I/61DPuDA7ISL._AC_UL200_SR200,200_.jpg",99.99,1342,"All-New Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Blue Kid-Proof Case",4.4
"https://images-na.ssl-images-amazon.com/images/I/915CT%2BFwbhL._AC_UL200_SR200,200_.jpg",19.99,1513,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders - Black,4.4
"https://images-na.ssl-images-amazon.com/images/I/513IKve0ANL._AC_UL200_SR200,200_.jpg",179.99,3043,"All-new Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life – 2 camera kit",3.6
"https://images-na.ssl-images-amazon.com/images/I/51q8%2BP87JLL._AC_UL200_SR200,200_.jpg",49.99,4832,"All-New Fire 7 Tablet (7"" display, 16 GB) - Plum",4.2
"https://images-na.ssl-images-amazon.com/images/I/61cSwIDSVbL._AC_UL200_SR200,200_.jpg",29.99,535,Certified Refurbished Echo Dot (3rd Gen) - Voice control your smart home with Alexa - Sandstone,4.5
"https://images-na.ssl-images-amazon.com/images/I/419f%2BTN01dL._AC_UL200_SR200,200_.jpg",89.99,3043,"All-new Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life – Add-on camera for existing Blink customers",3.6
"https://images-na.ssl-images-amazon.com/images/I/61kWsue8e8L._AC_UL200_SR200,200_.jpg",7.99,11759,"""Made for Amazon"" SanDisk 32 GB micro SD Memory Card for Fire Tablets and Fire TV",4.4
"https://images-na.ssl-images-amazon.com/images/I/51PVbyGOQ2L._AC_UL200_SR200,200_.jpg",49.99,4832,"All-New Fire 7 Tablet (7"" display, 16 GB) - Sage",4.2
"https://images-na.ssl-images-amazon.com/images/I/712UDuT1yRL._AC_UL200_SR200,200_.jpg",249.00,16654,"Ring Video Doorbell Pro, with HD Video, Motion Activated Alerts, Easy Installation (existing doorbell wiring required)",4.1
"https://images-na.ssl-images-amazon.com/images/I/51eGue9F1yL._AC_UL200_SR200,200_.jpg",249.99,3043,"All-new Blink XT2 Outdoor/Indoor Smart Security Camera with cloud storage included, 2-way audio, 2-year battery life – 3 camera kit",3.6
"https://images-na.ssl-images-amazon.com/images/I/41KxgZW5KLL._AC_UL200_SR200,200_.jpg",9.99,251,Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),4.5
"https://images-na.ssl-images-amazon.com/images/I/61GcN5yX6XL._AC_UL200_SR200,200_.jpg",129.99,10627,Echo Spot - Smart Alarm Clock with Alexa - Black,4.3
"https://images-na.ssl-images-amazon.com/images/I/6137kSXiKfL._AC_UL200_SR200,200_.jpg",129.99,7662,Toshiba 32LF221U19 32-inch 720p HD Smart LED TV - Fire TV Edition,4.2
"https://images-na.ssl-images-amazon.com/images/I/71vhCaHhHTL._AC_UL200_SR200,200_.jpg",42.26,49812,Echo (2nd Generation) - Smart speaker with Alexa and Dolby processing  - Charcoal Fabric,4.5
